BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","ElHindawy201412","El-Hindawy, Mohamed A. M. & Alamasi, Adnan M. S.","Measurement of the Strategic Performance of Hospitality in the Kingdom of Saudi Arabia: a balanced scorecard Approach (BSC) ","Arab Economic and Business Journal ",9,1,"","12 - 26",2014,"","","http://www.sciencedirect.com/science/article/pii/S2214462514000103","","","","","","","","","","","","","","","Strategic Management, Balanced Scorecard, Performance Measurement, Marketing Measures ","",""
7,"","Ellram2008148","Ellram, Lisa M.; Tate, Wendy L. & Billington, Corey","Offshore outsourcing of professional services: A transaction cost economics perspective ","Journal of Operations Management ",26,2,"","148 - 163",2008,"","Offshoring of Service and Knowledge Work ","http://www.sciencedirect.com/science/article/pii/S0272696307000502","","","","","","","","","","","","","","","Business process outsourcing, Professional services, Transaction costs, Case studies, Service purchasing, Offshoring ","",""
7,"","Carvalho2015128","do Espírito Santo Carvalho, Juliana; Santoro, Flávia Maria & Revoredo, Kate","A method to infer the need to update situations in business process adaptation ","Computers in Industry ",71,,"","128 - 143",2015,"","","http://www.sciencedirect.com/science/article/pii/S0166361515000792","","","","","","","","","","","","","","","Dynamic adaptation of business processes, Context, Data mining, Apriori ","",""
7,"","Ettlie2002133","Ettlie, John E. & Perotti, Victor J.","\THE\ \ADOPTION\ \OF\ \ENTERPRISE\ \RESOURCE\ \PLANNING\ (ERP) \SYSTEMS\ ","\{IFAC\} Proceedings Volumes ",35,1,"","133 - 137",2002,"","15th \{IFAC\} World Congress ","http://www.sciencedirect.com/science/article/pii/S1474667015384469","","","","","","","","","","","","","","","Enterprise Resource Planning, Leadership, Business Process Reengineering, Acquisition Strategy ","",""
5,"978-0-12-799959-3","Faltin2015635","Faltin, Nils; von Rosing, Mark & Scheer, August-Wilhelm","Real-Time Learning: Business Process Guidance at the Point of Need ","",,,"","635 - 643",2015,"Boston","","http://www.sciencedirect.com/science/article/pii/B9780127999593000318","The Complete Business Process Handbook ","","","","Rosing, Mark von; Scheer, August-Wilhelm & Scheel, Henrik von","Morgan Kaufmann","","","","","","","","","Business process guidance, Knowledge worker, Real-time learning, Age of discontinuity ","",""
7,"","FangFang2009271","Fang, Chua Fang & Sing, Lee Chien","Collaborative learning using service-oriented architecture: A framework design ","Knowledge-Based Systems ",22,4,"","271 - 274",2009,"","Artificial Intelligence (AI) in Blended Learning(AI) in Blended Learning ","http://www.sciencedirect.com/science/article/pii/S0950705109000185","","","","","","","","","","","","","","","Collaborative learning, Service-oriented architecture, Business process, Reusability, Web service ","",""
7,"","Farooq2011754","Farooq, Ayesha & Hussain, Zareen","Balanced scorecard perspective on change and performance: a study of selected Indian companies ","Procedia - Social and Behavioral Sciences ",24,,"","754 - 768",2011,"","The Proceedings of 7th International Strategic Management Conference ","http://www.sciencedirect.com/science/article/pii/S1877042811015710","","","","","","","","","","","","","","","Balanced Scorecard, Change Management, Organizational Performance ","",""
7,"","Favre2008e22","Favre, Eric; Falk, Véronique; Roizard, Christine & Schaer, Eric","Trends in chemical engineering education: Process, product and sustainable chemical engineering challenges ","Education for Chemical Engineers ",3,1,"","e22 - e27",2008,"","","http://www.sciencedirect.com/science/article/pii/S174977280800002X","","","","","","","","","","","","","","","Product, Process, Engineering, Sustainable chemistry, Education, History ","",""
7,"","Fernández201018","Fernández, H. Fernández; Palacios-González, Elías; García-Díaz, Vicente; G-Bustelo, B. Cristina Pelayo; Martínez, Oscar Sanjuán & Lovelle, Juan Manuel Cueva","\SBPMN\ — An easier business process modeling notation for business users ","Computer Standards & Interfaces ",32,1–2,"","18 - 28",2010,"","","http://www.sciencedirect.com/science/article/pii/S0920548909000300","","","","","","","","","","","","","","","BPM, BPMN, UML, Usability, Evaluation ","",""
7,"","Fill200527","Fill, Hans-Georg","\UML\ Statechart Diagrams on the \ADONIS\ Metamodeling Platform ","Electronic Notes in Theoretical Computer Science ",127,1,"","27 - 36",2005,"","Proceedings of the International Workshop on Graph-Based Tools (GraBaTs 2004)Graph-Based Tools 2004 ","http://www.sciencedirect.com/science/article/pii/S1571066105001039","","","","","","","","","","","","","","","statechart diagrams, metamodeling, business process management, UML ","",""
7,"","Franks1982251","Franks, Ian M. & Wilberg, Robert B.","The generation of movement patterns during the acquisition of a pursuit tracking task ","Human Movement Science ",1,4,"","251 - 272",1982,"","","http://www.sciencedirect.com/science/article/pii/016794578290015X","","","","","","","","","","","","","","","","",""
7,"","Fuglseth199793","Fuglseth, A. M. & Grønhaug, K.","IT-enabled redesign of complex and dynamic business processes: the case of bank credit evaluation ","Omega ",25,1,"","93 - 106",1997,"","","http://www.sciencedirect.com/science/article/pii/S0305048396000424","","","","","","","","","","","","","","","business process redesign, decision support, decision support systems, decision making/process, banking ","",""
7,"","Galitsky2009717","Galitsky, Boris A.; González, María P. & Chesñevar, Carlos I.","A novel approach for classifying customer complaints through graphs similarities in argumentative dialogues ","Decision Support Systems ",46,3,"","717 - 729",2009,"","Wireless in the Healthcare ","http://www.sciencedirect.com/science/article/pii/S016792360800208X","","","","","","","","","","","","","","","Automated decision making, Automated complaint processing, Argumentative dialogues, Pattern matching ","",""
7,"","GarcíaHolgado201620","García-Holgado, Alicia & García-Peñalvo, Francisco José","Architectural pattern to improve the definition and implementation of eLearning ecosystems ","Science of Computer Programming ",129,,"","20 - 34",2016,"","Special issue on eLearning Software Architectures ","http://www.sciencedirect.com/science/article/pii/S0167642316300259","","","","","","","","","","","","","","","eLearning ecosystems, Information systems, Architectural pattern, Software engineering, Open Source software ","",""
7,"","Genc20101504","Genc, Zulfu & Tinmaz, Hasan","A reflection of preservice teachers on e-portfolio assessment ","Procedia - Social and Behavioral Sciences ",9,,"","1504 - 1508",2010,"","World Conference on Learning, Teaching and Administration Papers ","http://www.sciencedirect.com/science/article/pii/S1877042810024614","","","","","","","","","","","","","","","Alternative assessment, e-portfolio, learning and teaching process ","",""
7,"","vanGenuchten20122209","van Genuchten, Erlijn; Scheiter, Katharina & Schüler, Anne","Examining learning from text and pictures for different task types: Does the multimedia effect differ for conceptual, causal, and procedural tasks? ","Computers in Human Behavior ",28,6,"","2209 - 2218",2012,"","","http://www.sciencedirect.com/science/article/pii/S0747563212001896","","","","","","","","","","","","","","","Learning with text and pictures, Multimedia effect, Conceptual, causal and procedural tasks, Static visualisations ","",""
7,"","Gerosa20091340","Gerosa, Marco & Taisch, Marco","A Logistic Service Provider Reference Model ","\{IFAC\} Proceedings Volumes ",42,4,"","1340 - 1345",2009,"","13th \{IFAC\} Symposium on Information Control Problems in Manufacturing ","http://www.sciencedirect.com/science/article/pii/S1474667016339830","","","","","","","","","","","","","","","Service supply chain, process modeling, reference model, logistics ","",""
5,"978-0-7506-7973-2","Gharajedaghi200656","Gharajedaghi, Jamshid","Chapter 3 - Systems Dimensions ","",,,"","56 - 82",2006,"Boston","","http://www.sciencedirect.com/science/article/pii/B9780750679732500091","Systems Thinking (Second Edition) ","","Second Edition","","Gharajedaghi, Jamshid","Butterworth-Heinemann","","","","","","","","","","",""
7,"","Goedertier20111697","Goedertier, Stijn; Weerdt, Jochen De; Martens, David; Vanthienen, Jan & Baesens, Bart","Process discovery in event logs: An application in the telecom industry ","Applied Soft Computing ",11,2,"","1697 - 1710",2011,"","The Impact of Soft Computing for the Progress of Artificial Intelligence ","http://www.sciencedirect.com/science/article/pii/S1568494610001055","","","","","","","","","","","","","","","Process discovery, AGNEs, HeuristicsMiner, Event logs, Genetic Miner, Data mining, Workflow management systems (WfMS) ","",""
7,"","Goerke2015138","Goerke, Matthias; Schmidt, Maurice; Busch, Jan & Nyhuis, Peter","Holistic Approach of Lean Thinking in Learning Factories ","Procedia \{CIRP\} ",32,,"","138 - 143",2015,"","5th Conference on Learning Factories ","http://www.sciencedirect.com/science/article/pii/S2212827115005971","","","","","","","","","","","","","","","learning factory, Lean Production, Lean Administration, holistic approach ","",""
7,"","SanchezGomez2015573","Gomez, Sheila Sanchez; Moya, José Luis Medina; de Mendiguren, Beatriz Mendoza Pérez; Arena, Ana Isabel Ugarte & de Albéniz Arriaran, Mercedes Martínez","Investigación acción participativa; la educación para el autocuidado del adulto maduro, un proceso dialógico y emancipador ","Atención Primaria ",47,9,"","573 - 580",2015,"","","http://www.sciencedirect.com/science/article/pii/S0212656715000359","","","","","","","","","","","","","","","Enfermería, Educación para la salud, Promoción de la salud, Empoderamiento, Investigación-acción, Nursing, Health education, Health promotion, Empowerment, Action research ","",""
7,"","Grau2014155","Grau, James W.","Learning from the spinal cord: How the study of spinal cord plasticity informs our view of learning ","Neurobiology of Learning and Memory ",108,,"","155 - 171",2014,"","Associative Perspectives on the Neurobiology of Learning ","http://www.sciencedirect.com/science/article/pii/S1074742713001445","","","","","","","","","","","","","","","Spinal cord, Instrumental conditioning, Pavlovian conditioning, Operant, Inflammation, Injury ","",""
7,"","Gregory20031291","Gregory, Robin; Fischhoff, Baruch; Thorne, Sarah & Butte, Gordon","A multi-channel stakeholder consultation process for transmission deregulation ","Energy Policy ",31,12,"","1291 - 1299",2003,"","","http://www.sciencedirect.com/science/article/pii/S030142150200188X","","","","","","","","","","","","","","","Electricity, Energy deregulation, Transmission, Stakeholder consultation ","",""
7,"","Grigoroudis2012104","Grigoroudis, E.; Orfanoudaki, E. & Zopounidis, C.","Strategic performance measurement in a healthcare organisation: A multiple criteria approach based on balanced scorecard ","Omega ",40,1,"","104 - 119",2012,"","","http://www.sciencedirect.com/science/article/pii/S0305048311000612","","","","","","","","","","","","","","","Health service, Multicriteria analysis, Case study, Performance measurement, Balanced scorecard, Business strategy ","",""
7,"","Groenendijk201335","Groenendijk, Talita; Janssen, Tanja; Rijlaarsdam, Gert & van den Bergh, Huub","Learning to be creative. The effects of observational learning on students' design products and processes ","Learning and Instruction ",28,,"","35 - 47",2013,"","","http://www.sciencedirect.com/science/article/pii/S0959475213000431","","","","","","","","","","","","","","","Observational learning, Cognitive modeling, Art and design education, Creativity, Creative process ","",""
7,"","Grönlund1994S119","Grönlund, Åke","Public computer systems - A challenge for organizational learning ","Computer Networks and \{ISDN\} Systems ",26, Supplement 2,,"","S119 - S128",1994,"","Network Services Conference. Originally published as Volume 26, Supplement 2-3 ","http://www.sciencedirect.com/science/article/pii/0169755294900817","","","","","","","","","","","","","","","Client-organization encounter, conversation, communication, electronic highway, public computer systems ","",""
7,"","Grover1997193","Grover, Varun & Malhotra, Manoj K.","Business process reengineering: A tutorial on the concept, evolution, method, technology and application ","Journal of Operations Management ",15,3,"","193 - 213",1997,"","","http://www.sciencedirect.com/science/article/pii/S0272696396001040","","","","","","","","","","","","","","","Reengineering, Process management, Technology ","",""
7,"","Groves2014274","Groves, William; Collins, John; Gini, Maria & Ketter, Wolfgang","Agent-assisted supply chain management: Analysis and lessons learned ","Decision Support Systems ",57,,"","274 - 284",2014,"","","http://www.sciencedirect.com/science/article/pii/S0167923613002340","","","","","","","","","","","","","","","Decision support systems, Supply chain management, Key performance indicators, Economic simulation, Software agents, Trading Agent Competition ","",""
7,"","Gruhn20074","Gruhn, Volker & Laue, Ralf","What business process modelers can learn from programmers ","Science of Computer Programming ",65,1,"","4 - 13",2007,"","Special Issue on: Increasing Adequacy and Reliability of \{EIS\} ","http://www.sciencedirect.com/science/article/pii/S016764230600178X","","","","","","","","","","","","","","","Business process modeling, Modeling style, Style rules ","",""
7,"","Guillot199463","Guillot, M.-N. & Kenning, M.-M.","Electronic monolingual dictionaries as language learning aids: A case study ","Computers & Education ",23,1–2,"","63 - 74",1994,"","","http://www.sciencedirect.com/science/article/pii/0360131594900337","","","","","","","","","","","","","","","","",""
7,"","Halachmi1997227","Halachmi, Arie & Bovaird, Tony","Process reengineering in the public sector: Learning some private sector lessons ","Technovation ",17,5,"","227 - 235",1997,"","","http://www.sciencedirect.com/science/article/pii/S016649729600123X","","","","","","","","","","","","","","","","",""
7,"","Hamburg2002361","Hamburg, Ileana; Rehfeld, Dieter & Widmaier, Brigitta","\IMPACTS\ \OF\ \INFORMATION\ \TECHNOLOGY\ \USE\ \IN\ \BUSINESS\ \SUPPORT\ \AGENCIES\ \SERVICES\ ","\{IFAC\} Proceedings Volumes ",35,1,"","361 - 365",2002,"","15th \{IFAC\} World Congress ","http://www.sciencedirect.com/science/article/pii/S1474667015398736","","","","","","","","","","","","","","","computers, business process, interaction mechanisms, knowledge ","",""
7,"","Harman2016242","Harman, Joel; Brown, Ross; Johnson, Daniel; Rinderle-Ma, Stefanie & Kannengiesser, Udo","Augmenting process elicitation with visual priming: An empirical exploration of user behaviour and modelling outcomes ","Information Systems ",62,,"","242 - 255",2016,"","","http://www.sciencedirect.com/science/article/pii/S030643791530106X","","","","","","","","","","","","","","","Business process management, Process elicitation, Subject-oriented business process management, 3D virtual worlds, Human–computer interaction ","",""
7,"","WissenHayek2016","Hayek, U. Wissen; von Wirth, T.; Neuenschwander, N. & Grêt-Regamey, A.","Organizing and facilitating Geodesign processes: Integrating tools into collaborative design processes for urban transformation ","Landscape and Urban Planning ",,,""," - ",2016,"","","http://www.sciencedirect.com/science/article/pii/S0169204616300822","","","","","","","","","","","","","","","Collaborative planning, Geodesign, Societal values, GIS-based tools, Systems thinking, Regional and urban planning ","",""
5,"978-0-08-043076-8","Hemelrijk200114212","Hemelrijk, C. K.","Social Behavior (Emergent), Computer Models of ","",,,"","14212 - 14216",2001,"Oxford","","http://www.sciencedirect.com/science/article/pii/B0080430767031107","International Encyclopedia of the Social & Behavioral Sciences ","","","","Smelser, Neil J. & Baltes, Paul B.","Pergamon","","","","","","","","","","",""
7,"","Hernández20091084","Hernández, J. A.; Bassam, A.; Siqueiros, J. & Juárez-Romero, D.","Optimum operating conditions for a water purification process integrated to a heat transformer with energy recycling using neural network inverse ","Renewable Energy ",34,4,"","1084 - 1091",2009,"","","http://www.sciencedirect.com/science/article/pii/S0960148108002826","","","","","","","","","","","","","","","Artificial neural network inverse, Absorption heat transformer, Water purification, COP performance ","",""
7,"","Hernández200866","Hernández, J. A.; Juárez-Romero, D.; Morales, L. I. & Siqueiros, J.","\COP\ prediction for the integration of a water purification process in a heat transformer: with and without energy recycling ","Desalination ",219,1–3,"","66 - 80",2008,"","","http://www.sciencedirect.com/science/article/pii/S0011916407005644","","","","","","","","","","","","","","","\{COP\} prediction, Absorption heat transformer, Water purification, Neural network ","",""
7,"","Hienerth2011344","Hienerth, Christoph; Keinz, Peter & Lettl, Christopher","Exploring the Nature and Implementation Process of User-Centric Business Models ","Long Range Planning ",44,5–6,"","344 - 374",2011,"","Social Software: Strategy, Technology, and Community ","http://www.sciencedirect.com/science/article/pii/S0024630111000501","","","","","","","","","","","","","","","","",""
7,"","vanHillegersberg2014675","van Hillegersberg, Jos & Koenen, Sebastiaan","Adoption of Web-based Group Decision Support Systems: Conditions for Growth ","Procedia Technology ",16,,"","675 - 683",2014,"","\{CENTERIS\} 2014 - Conference on \{ENTERprise\} Information Systems / ProjMAN 2014 - International Conference on Project \{MANagement\} / \{HCIST\} 2014 - International Conference on Health and Social Care Information Systems and Technologies ","http://www.sciencedirect.com/science/article/pii/S2212017314002436","","","","","","","","","","","","","","","adoption, implementation, group support systems, collaboration, meeting support systems, GDSS; ","",""
7,"","Hoogveld2005287","Hoogveld, Albert W. M.; Paas, Fred & Jochems, Wim M. G.","Training higher education teachers for instructional design of competency-based education: Product-oriented versus process-oriented worked examples ","Teaching and Teacher Education ",21,3,"","287 - 297",2005,"","","http://www.sciencedirect.com/science/article/pii/S0742051X05000065","","","","","","","","","","","","","","","Competency-based education, Modeling examples, Instructional design, Learning tasks, Teacher roles, Worked examples ","",""
7,"","Hoque2003553","Hoque, Zahirul","\TOTAL\ \QUALITY\ \MANAGEMENT\ \AND\ \THE\ \BALANCED\ \SCORECARD\ APPROACH: A \CRITICAL\ \ANALYSIS\ \OF\ \THEIR\ \POTENTIAL\ \RELATIONSHIPS\ \AND\ \DIRECTIONS\ \FOR\ \RESEARCH\ ","Critical Perspectives on Accounting ",14,5,"","553 - 566",2003,"","","http://www.sciencedirect.com/science/article/pii/S1045235402001600","","","","","","","","","","","","","","","","",""
7,"","Hou2015424","Hou, Huei-Tse","Integrating cluster and sequential analysis to explore learners’ flow and behavioral patterns in a simulation game with situated-learning context for science courses: A video-based process exploration ","Computers in Human Behavior ",48,,"","424 - 435",2015,"","","http://www.sciencedirect.com/science/article/pii/S0747563215001089","","","","","","","","","","","","","","","Interactive learning environments, Flow state, Game-based learning, Learning process ","",""
7,"","House2012495","House, Christopher & Phillips, Michael R.","Integrating the science education nexus into coastal governance: A Mediterranean and Black Sea case study ","Marine Policy ",36,2,"","495 - 501",2012,"","","http://www.sciencedirect.com/science/article/pii/S0308597X11001229","","","","","","","","","","","","","","","Coastal research, Technology enhanced learning, Knowledge transfer, Policy process ","",""
5,"978-0-12-799959-3","Hove2015579","Hove, Maria; Fonseca, Marianne; von Rosing, Mona; von Scheel, Joshua & Muhita, Dickson Hunja","\BPM\ Change Management ","",,,"","579 - 598",2015,"Boston","","http://www.sciencedirect.com/science/article/pii/B9780127999593000288","The Complete Business Process Handbook ","","","","Rosing, Mark von; Scheer, August-Wilhelm & Scheel, Henrik von","Morgan Kaufmann","","","","","","","","","Analyze phase, Build phase, Change management, Continuous improvement phase, Deploy/implement phase, Design phase, OCM, Organizational change management, Run/maintain phase, Valley of despair ","",""
7,"","Huang2009209","Huang, Hao-Chen","Designing a knowledge-based system for strategic planning: A balanced scorecard perspective ","Expert Systems with Applications ",36,1,"","209 - 218",2009,"","","http://www.sciencedirect.com/science/article/pii/S0957417407004320","","","","","","","","","","","","","","","Knowledge-based system, Balanced scorecard, Analytic hierarchy process ","",""
7,"","Huang20114875","Huang, Hao-Chen; Lai, Mei-Chi & Lin, Lee-Hsuan","Developing strategic measurement and improvement for the biopharmaceutical firm: Using the \BSC\ hierarchy ","Expert Systems with Applications ",38,5,"","4875 - 4881",2011,"","","http://www.sciencedirect.com/science/article/pii/S0957417410010262","","","","","","","","","","","","","","","Balanced scorecard, Performance management, Analytic hierarchy process ","",""
7,"","Huang2008649","Huang, Wen-Cheng & Chou, Chia-Ching","Risk-based drought early warning system in reservoir operation ","Advances in Water Resources ",31,4,"","649 - 660",2008,"","","http://www.sciencedirect.com/science/article/pii/S030917080800002X","","","","","","","","","","","","","","","Drought, Early warning system, Reservoir, Risk, Decision making ","",""
7,"","Huang2011127","Huang, Zhengxing; van der Aalst, W. M. P.; Lu, Xudong & Duan, Huilong","Reinforcement learning based resource allocation in business process management ","Data & Knowledge Engineering ",70,1,"","127 - 145",2011,"","","http://www.sciencedirect.com/science/article/pii/S0169023X1000114X","","","","","","","","","","","","","","","Resource allocation, Business process, Markov decision process, Reinforcement learning, Q-learning ","",""
7,"","Huang20107533","Huang, Zhengxing; van der Aalst, W. M. P.; Lu, Xudong & Duan, Huilong","An adaptive work distribution mechanism based on reinforcement learning ","Expert Systems with Applications ",37,12,"","7533 - 7541",2010,"","","http://www.sciencedirect.com/science/article/pii/S095741741000391X","","","","","","","","","","","","","","","Work distribution, Business process, Process condition, Reinforcement learning, Rough set theory ","",""
7,"","Hunt2005393","Hunt, Ingrid; Wall, Brian & Jadgev, Hari","Applying the concepts of extended products and extended enterprises to support the activities of dynamic supply networks in the agri-food industry ","Journal of Food Engineering ",70,3,"","393 - 402",2005,"","Operational Research and Food Logistics ","http://www.sciencedirect.com/science/article/pii/S0260877404004881","","","","","","","","","","","","","","","eBusiness, Supply chain management (SCM), Roadmap, Dynamic supply network ","",""
7,"","Ilomäki2007119","Ilomäki, Liisa & Rantanen, Pirkko","Intensive use of \ICT\ in school: Developing differences in students’ \ICT\ expertise ","Computers & Education ",48,1,"","119 - 136",2007,"","","http://www.sciencedirect.com/science/article/pii/S0360131505000060","","","","","","","","","","","","","","","Improving classroom teaching, Interdisciplinary projects, Pedagogical issues, Secondary education ","",""
7,"","Irani2014105","Irani, Zahir; Sharif, Amir; Kamal, Muhammad Mustafa & Love, Peter E. D.","Visualising a knowledge mapping of information systems investment evaluation ","Expert Systems with Applications ",41,1,"","105 - 125",2014,"","21st Century Logistics and Supply Chain Management ","http://www.sciencedirect.com/science/article/pii/S0957417413004922","","","","","","","","","","","","","","","Knowledge management, Knowledge mapping, Knowledge components, Supply chain management, IS investment evaluation, Expert Systems ","",""
7,"","Ismagilova20141095","Ismagilova, Liliya R. & Polyakova, Oksana V.","The Problem of the Syllabus Design within the Competence Approach based on the Course “English for Master Degree Students in Economics (Advanced Level)” ","Procedia - Social and Behavioral Sciences ",152,,"","1095 - 1100",2014,"","\{ERPA\} International Congress on Education, \{ERPA\} Congress 2014, 6-8 June 2014, Istanbul, Turkey ","http://www.sciencedirect.com/science/article/pii/S1877042814053488","","","","","","","","","","","","","","","syllabus design, competence approach, ESP, communicative competetnce, assessment evaluation ","",""
7,"","Isoda2001153","Isoda, Sadahiro","Object-oriented real-world modeling revisited ","Journal of Systems and Software ",59,2,"","153 - 162",2001,"","","http://www.sciencedirect.com/science/article/pii/S0164121201000590","","","","","","","","","","","","","","","Object-oriented methodology, Object-oriented analysis, Real-world modeling, OOSE, OMT, UML ","",""
7,"","Järvenoja2005465","Järvenoja, Hanna & Järvelä, Sanna","How students describe the sources of their emotional and motivational experiences during the learning process: A qualitative approach ","Learning and Instruction ",15,5,"","465 - 480",2005,"","Feelings and Emotions in the Learning ProcessFeelings and Emotions in the Learning Process ","http://www.sciencedirect.com/science/article/pii/S095947520500054X","","","","","","","","","","","","","","","Emotion, Motivation, Volition, Computer-supported collaborative learning, Qualitative research ","",""
7,"","Jensen2009181","Jensen, Peter D. Ørberg","A learning perspective on the offshoring of advanced services ","Journal of International Management ",15,2,"","181 - 193",2009,"","Global Sourcing and Value Creation: Opportunities and Challenges ","http://www.sciencedirect.com/science/article/pii/S1075425309000234","","","","","","","","","","","","","","","Services offshoring, Global integration, Organizational learning, Knowledge transfer, Business strategy ","",""
7,"","Jia2012234","Jia, Li; Cao, Luming & Chiu, Minsen","Data-driven Based Integrated Learning Controller Design for Batch Processes ","\{IFAC\} Proceedings Volumes ",45,15,"","234 - 238",2012,"","8th \{IFAC\} Symposium on Advanced Control of Chemical Processes ","http://www.sciencedirect.com/science/article/pii/S1474667016304487","","","","","","","","","","","","","","","Batch process, integrated learning control, iterative learning control (ILC), feedback control ","",""
7,"","Jia20131332","Jia, Li; Yang, Tian & Chiu, Minsen","An integrated iterative learning control strategy with model identification and dynamic R-parameter for batch processes ","Journal of Process Control ",23,9,"","1332 - 1341",2013,"","","http://www.sciencedirect.com/science/article/pii/S0959152413001790","","","","","","","","","","","","","","","Batch process, Integrated learning control, Iterative learning control (ILC), Model identification, Dynamic parameter ","",""
7,"","Jiménez201674","Jiménez, Patricia & Corchuelo, Rafael","On learning web information extraction rules with \TANGO\ ","Information Systems ",62,,"","74 - 103",2016,"","","http://www.sciencedirect.com/science/article/pii/S0306437915300405","","","","","","","","","","","","","","","Web information extraction, Semi-structured documents, Open catalogues of features, Learning rules, Variation points, Configuration method ","",""
7,"","AdamJr2000143","Jr., Everett E.  Adam & Jr., S. Thomas Foster","Quality improvement approach and performance: multisite analysis within a firm ","Journal of Quality Management ",5,2,"","143 - 158",2000,"","","http://www.sciencedirect.com/science/article/pii/S1084856801000189","","","","","","","","","","","","","","","Quality, Internal assessment, Operational results, Strategy ","",""
7,"","Kádárová2014174","Kádárová, Jaroslava; Durkáčová, Michaela & Kalafusová, Lenka","Balanced Scorecard as an Issue Taught in the Field of Industrial Engineering ","Procedia - Social and Behavioral Sciences ",143,,"","174 - 179",2014,"","3rd Cyprus International Conference on Educational Research, CY-ICER 2014, 30 January – 1 February 2014, Lefkosa, North Cyprus ","http://www.sciencedirect.com/science/article/pii/S1877042814043109","","","","","","","","","","","","","","","Balanced Scorecard, generations, literature, management tool ; ","",""
7,"","Kakehi2009479","Kakehi, Munenori; Yamada, Tetsuo & Watanabe, Ichie","\PLM\ education in production design and engineering by e-Learning ","International Journal of Production Economics ",122,1,"","479 - 484",2009,"","Transport Logistics and Physical DistributionInterlocking of Information Systems for International Supply and Demand Chains ManagementICPR19 ","http://www.sciencedirect.com/science/article/pii/S0925527309002114","","","","","","","","","","","","","","","\{PLM\} (Product Lifecycle Management), e-Learning, Production system design, Educational methods, Human resource development ","",""
7,"","Karabulut20151338","Karabulut, Ahu Tuğba","Effects of Innovation Strategy on Firm Performance: A Study Conducted on Manufacturing Firms in Turkey ","Procedia - Social and Behavioral Sciences ",195,,"","1338 - 1347",2015,"","World Conference on Technology, Innovation and Entrepreneurship ","http://www.sciencedirect.com/science/article/pii/S1877042815037933","","","","","","","","","","","","","","","Innovation Strategy, Firm Performance, Manufacturing Firms, Turkey ","",""
7,"","Karabulut20151355","Karabulut, Ahu Tuğba","Effects of Innovation Types on Performance of Manufacturing Firms in Turkey ","Procedia - Social and Behavioral Sciences ",195,,"","1355 - 1364",2015,"","World Conference on Technology, Innovation and Entrepreneurship ","http://www.sciencedirect.com/science/article/pii/S187704281503801X","","","","","","","","","","","","","","","Innovation Types, Firm Performance, Manufacturing Firms, Turkey ","",""
7,"","Kasabov2000127","Kasabov, Nikola; Postma, Eric & van den Herik, Jaap","AVIS: a connectionist-based framework for integrated auditory and visual information processing ","Information Sciences ",123,1–2,"","127 - 148",2000,"","","http://www.sciencedirect.com/science/article/pii/S0020025599001140","","","","","","","","","","","","","","","Multimodal information processing, Integrated systems, Fuzzy neural networks ","",""
7,"","Kassim2015919","Kassim, Hafizoah; Osman, Najah & Abdullah, Aziman","Creative Strategy: A Pilot Evaluation of a Hypothetical Learning Model through Public Speaking Performance ","Procedia - Social and Behavioral Sciences ",171,,"","919 - 928",2015,"","5th \{ICEEPSY\} International Conference on Education &amp; Educational Psychology ","http://www.sciencedirect.com/science/article/pii/S1877042815002402","","","","","","","","","","","","","","","Creative strategy, Process-oriented learning, Public speaking, Thinking skills ","",""
7,"","Kazan2015915","Kazan, Halim; Karaman, Engin; Akçalı, Burçay Yaşar & Şişmanoğlu, Elçin","Assessment of \TEOG\ Examination Success: Topsis Multi-Criteria Decision-Making Method Practice ","Procedia - Social and Behavioral Sciences ",195,,"","915 - 924",2015,"","World Conference on Technology, Innovation and Entrepreneurship ","http://www.sciencedirect.com/science/article/pii/S1877042815038501","","","","","","","","","","","","","","","TEOG, School successes, TOPSIS, Ministry of National Education (MEB) ","",""
7,"","Kettinger199893","Kettinger, William J. & Teng, James T. C.","Aligning \BPR\ to strategy: a framework for analysis ","Long Range Planning ",31,1,"","93 - 107",1998,"","","http://www.sciencedirect.com/science/article/pii/S0024630197000940","","","","","","","","","","","","","","","","",""
7,"","Khodyrev2014322","Khodyrev, Ivan & Popova, Svetlana","Discrete Modeling and Simulation of Business Processes Using Event Logs ","Procedia Computer Science ",29,,"","322 - 331",2014,"","2014 International Conference on Computational Science ","http://www.sciencedirect.com/science/article/pii/S1877050914002063","","","","","","","","","","","","","","","Business process simulation, Petri nets, process mining, data mining ","",""
7,"","Kim2007338","Kim, Hyun Jeong; Pan, Gary & Pan, Shan Ling","Managing IT-enabled transformation in the public sector: A case study on e-government in South Korea ","Government Information Quarterly ",24,2,"","338 - 352",2007,"","","http://www.sciencedirect.com/science/article/pii/S0740624X06001687","","","","","","","","","","","","","","","","",""
5,"978-0-12-088568-8","Kim2007486","Kim, Ji","Chapter 24 - Prototyping with Visio ","",,,"","486 - 517",2007,"San Francisco","","http://www.sciencedirect.com/science/article/pii/B9780120885688500254","Effective Prototyping for Software Makers ","","","Interactive Technologies","Arnowitz, Jonathan; Arent, Michael & Berger, Nevin","Morgan Kaufmann","","","","","","","","","","",""
