"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28p_Abstract%3A.QT.business+process.QT.+OR+p_Abstract%3A.QT.process-oriented.QT.+OR+.QT.process+oriented.QT.+OR+p_Abstract%3A.QT.process-integrated.QT.+%29+AND+%28p_Abstract%3A.QT.elearning+OR+p_Abstract%3Alearning+OR+p_Abstract%3Ateaching+OR+p_Abstract%3A.QT.e-learning.QT.%29%29",2016/09/22 09:09:49
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Moodle-based e-learning framework to conduct the manipulation skill training for an enterprise resource planning system","J. Y. Wu; M. D. May; C. C. Yang","Dept. of Business Administration, Lunghwa University of Science and Technology, Taoyuan, Taiwan","2015 IEEE 7th International Conference on Engineering Education (ICEED)","","2015","","","118","123","An enterprise resource planning (ERP) system is the backbone in an e-business framework and is a process-oriented business management paradigm. An implementation of an ERP system can achieve “real-time” and “integration”. The staffs with manipulation skills of an ERP system are thus demanded for enterprises. E-learning are increasingly widespread by using information and telecommunication technologies. Therefore, this study develops a Moodle-based e-learning framework, consisting of a Moodle learning management system with a mobile learning (m-learning) solution and Web 2.0 applications (such as Wiki), and a proposed planning template of an e-learning content development for manipulation skill training of an ERP system. This study exhibits an implementation demo of the proposed framework, and indicating that (1) the used Moodle LMS can support e-learning and m-learning well, (2) an e-learning content (HTML5 format) created by the proposed template can be easily delivered to a Web and mobile devices. In future work, this study will integrate the proposed framework with a flipped classroom approach for ERP courses in a University. A statistical questionnaire analysis method will be performed to verify that the proposed framework can efficiently acquire the manipulation skills of an ERP system for learners.","","","10.1109/ICEED.2015.7451504","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7451504","Moodle learning management system;e-learning;e-learning content development;enterprise resource planning;mobile learning","Business;Conferences;Electronic learning;Internet;Mobile communication;Mobile handsets;Training","Internet;computer based training;enterprise resource planning;learning management systems;mobile computing;statistical analysis","ERP system;Moodle learning management system;Moodle-based e-learning framework;Web 2.0 applications;e-business framework;electronic business framework;electronic learning framework;enterprise resource planning system;flipped classroom approach;information and telecommunication technologies;m-learning solution;mobile learning solution;process-oriented business management paradigm;statistical questionnaire analysis method","","","","14","","","17-18 Nov. 2015","","IEEE","IEEE Conference Publications"
"Tutorial 2: SOA Services and Solutions","Jia Zhang; Hong Cai; Jia Zhang; Hong Cai","","2006 IEEE International Conference on Web Services (ICWS'06)","","2006","","","xli","xli","This tutorial will share with the audience on how to leverage the foundational knowledge of service-oriented architecture (SOA) and Web services to build service-oriented business consulting method, enable software as services and services as software. Advanced SOA techniques are covered in the following topics: services publishing and discovery, business services relationship modeling, business requirements-driven services composition, services value chain collaboration, business process integration and modeling, enterprise modeling, and project-based business performance management. A services engineering method and delivery framework will be discussed as a case study. The target audiences are all-level researchers, practitioners, and students. From this tutorial, the audiences could learn the actual service delivery processes, technologies, and methodologies in the entire service delivery life cycle. This tutorial material is created for the IEEE Body of Knowledge initiative on Services Computing, which is sponsored by the IEEE Computer Society Technical Committee on Services Computing","","","10.1109/ICWS.2006.137","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4032001","","","Web services;commerce","SOA services;Web services;business process integration;business process modeling;business requirements-driven services composition;business services relationship modeling;enterprise modeling;project-based business performance management;service-oriented architecture;service-oriented business consulting method;services discovery;services publishing;services value chain collaboration","","0","","","","","18-22 Sept. 2006","","IEEE","IEEE Conference Publications"
"SOA Services and Solutions","H. Cai; J. Zhang","IBM China Research Lab","2006 IEEE International Conference on Services Computing (SCC'06)","","2006","","","xxxvii","xxxvii","This tutorial will share with the audience on how to leverage the foundational knowledge of Service- Oriented Architecture (SOA) and Web services to build service-oriented business consulting method, enable Software As Services and Services As Software. Advanced SOA techniques are covered in the following topics: services publishing and discovery, business services relationship modeling, business requirements-driven services composition, services value chain collaboration, business process integration and modeling, enterprise modeling, and project-based business performance management. A Services Engineering method and delivery framework will be discussed as a case study. The target audiences are all-level researchers, practitioners, and students. From this tutorial, the audiences could learn the actual service delivery processes, technologies, and methodologies in the entire service delivery life cycle. This tutorial material is created for the IEEE Body of Knowledge initiative on Services Computing, which is sponsored by the IEEE Computer Society Technical Committee on Services Computing.","","","10.1109/SCC.2006.96","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4026893","","Collaboration;Communication industry;Computer architecture;Computer science;Project management;Publishing;Service oriented architecture;Telecommunication computing;USA Councils;Web services","","","","0","","","","","Sept. 2006","","IEEE","IEEE Conference Publications"
"Work in progress - assessing the engineering curriculum through Bloom’s Taxonomy","A. Cheville; A. Yadav; D. Subedi; M. Lundeberg","Electrical Engineering, Oklahoma State University, USA","2008 38th Annual Frontiers in Education Conference","","2008","","","S3E-15","S3E-16","This research project examines using a taxonomy-based survey to permit engineering programs to self-assess whether students are given a broad spectrum of learning opportunities. An engineering taxonomy, designed to be compact and simple, identifies seven key engineering ldquoskillsrdquo one conceptual, one factual, and five process oriented skills based on the engineering design cycle. Four levels of mastery are defined, compared to the six originally defined by Bloom. The taxonomy survey has been piloted in an electrical engineering program at a land-grant research university. This paper discusses the validation process and initial results.","0190-5848;01905848","","10.1109/FIE.2008.4720668","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4720668","Bloom’s Taxonomy;engineering program evaluation;engineering taxonomy;survey instrument","Accreditation;Cost accounting;Design engineering;Electrical engineering;Engineering education;Instruments;Knowledge engineering;Process design;Sequential analysis;Taxonomy","computer science education;educational courses;electrical engineering education;engineering education;work in progress","Bloom taxonomy;electrical engineering program;engineering curriculum;engineering programs;land-grant research university;learning opportunities;validation process","","0","","5","","","22-25 Oct. 2008","","IEEE","IEEE Conference Publications"
"Requirements engineering process improvement: Analyzing the organizational culture impact and implementing an empirical study to evaluate the benefits of improvement","J. Jung; S. Lee; S. Choi; S. W. Lee","LG Electronics., Seoul, Republic of Korea","Interrelations between Requirements Engineering and Business Process Management (REBPM), 2014 IEEE 1st International Workshop on the","","2014","","","15","18","This paper describes an industrial experience of requirements engineering for the business process improvement in one of the biggest electronics companies in Korea. To improve the definition of the TV department business process requirements, we have applied a few methods to facilitate communications amongst stakeholders, based on their requirements. Our methods include iterative review processes, shared templates, and professional technical writing training. After applying our methods in a pilot project, the project stakeholders have confirmed that the approach provides a better requirements understanding and has improved requirements elicitation for the given examples. While implementing the project, we were also able to learn about both technical and nontechnical obstacles. Nontechnical obstacles were created by the organizational culture, including issues such as reduced empowerment, low levels of communication with other stakeholders, and a non-uniformly defined and not clearly understood mission statement. Most of the developers are very good at accomplishing their goals. They are very quick to respond to their management's requests, without excuses. However, often times, stakeholders have usually emphasized the importance of the results, rather than focusing on developing a strong quality process. The quality of work was highly dependent on the product development process. Therefore, in this study, the authors have analyzed the impact on the requirements gathering created by the stakeholders having a manufacturing process background and evaluating most decisions from a manufacturing perspective. The impact of the national cultural work style on the requirements engineering processes was also examined. In the future, we will continue to apply and expand the mentioned findings to further improve the requirements business process management.","","","10.1109/REBPM.2014.6890731","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6890731","Requirements engineering process improvement;national work patterns;organizational culture;product development process","Companies;Cultural differences;Global communication;Software;TV","business process re-engineering;continuous improvement;cultural aspects;electronics industry;formal specification;iterative methods;organisational aspects;product development","TV department business process requirements;business process improvement;electronics company;iterative review process;manufacturing process background;nontechnical obstacle;organizational culture impact;product development process;professional technical writing training;project stakeholder;quality process;reduced empowerment;requirements business process management;requirements engineering process improvement;requirements understanding;shared template;work quality","","0","","6","","","25-25 Aug. 2014","","IEEE","IEEE Conference Publications"
"A contemporary science and engineering education program for 8th and 9th grade students","S. Anwar","Pennsylvania State Univ., University Park, PA, USA","Frontiers in Education Conference, 1998. FIE '98. 28th Annual","","1998","3","","1173","1177 vol.3","This paper describes a 5-day science and engineering education program for 8th and 9th grade students, held at Penn State Altoona in August 1997. The objectives of this program were (a) to create a vision of science and engineering that is process-oriented, motivational, exploratory, and encourages problem solving, and (b) to impart students tools which would be helpful to them in learning more advanced scientific concepts. Participants conducted a series of inquiry-based exercises designed to introduce them to contemporary concepts in engineering design, materials science, lasers/electro-optics/fiber-optics, statistical quality control, and biological sciences. Working collaboratively in teams, 8th and 9th graders who participated in this program designed experiments, manipulated equipment, made measurements, and interpreted and presented data in an appropriate style. Each student created a portfolio of written, graphic, and project materials which was evaluated by the project faculty at the conclusion of the program. The portfolio approach was used to enhance: verbal and written communication skills, interdisciplinary learning, conceptual understanding of science and engineering, student responsibility for learning, self esteem. The paper begins with a description of the reasons for conducting the above mentioned summer school of excellence for 8th and 9th graders. A discussion of portfolio approach is presented. The activities carried out as a part of the above mentioned program are described. Finally, the student assessment and program evaluation are discussed.","0190-5848;01905848","","10.1109/FIE.1998.738603","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=738603","","Design engineering;Engineering education;Fiber lasers;Laser theory;Lasers and electrooptics;Materials science and technology;Optical design;Optical fiber devices;Portfolios;Problem-solving","educational courses;engineering education","Penn State Altoona;biological sciences;contemporary science program;electro-optics;engineering design;engineering education program;fiber-optics;graphic material;inquiry-based exercises;interdisciplinary learning;lasers;materials science;problem solving;program evaluation;project material;statistical quality control;student assessment;student learning responsibility;student self esteem;students tools;verbal communication skills;written communication skills;written material","","1","","","","","4-7 Nov. 1998","04 Nov 1998-07 Nov 1998","IEEE","IEEE Conference Publications"
"Table of contents","","","Computer, Communications, and Control Technology (I4CT), 2014 International Conference on","","2014","","","v","x","The following topics are dealt with: indoor optical wireless communications; wireless sensor network; mobile robot; medical image compression; mobile advertising technology; business process improvement; satellite attitude control; WLAN; higher education; Web services; antennas; e-learning system; cloud computing; OFDM system; motion estimation; and query tokenization.","","","10.1109/I4CT.2014.6914128","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6914128","","","OFDM modulation;Web services;advertising data processing;antennas;attitude control;business data processing;cloud computing;computer aided instruction;data compression;further education;image coding;indoor communication;medical image processing;mobile robots;motion estimation;optical communication;query processing;wireless LAN;wireless sensor networks","OFDM system;WLAN;Web services;antennas;business process improvement;cloud computing;e-learning system;higher education;indoor optical wireless communications;medical image compression;mobile advertising technology;mobile robot;motion estimation;query tokenization;satellite attitude control;wireless sensor network","","0","","","","","2-4 Sept. 2014","","IEEE","IEEE Conference Publications"
"Design rationale and maintainability","J. Conklin","MCC Software Technol. Program, Austin, TX, USA","System Sciences, 1989. Vol.II: Software Track, Proceedings of the Twenty-Second Annual Hawaii International Conference on","","1989","2","","533","539 vol.2","Design decisions and assumptions that occur within and during the process of system design are not generally documented. The deliberation and much of the domain learning that went into resolving key design issues is thus wasted, increasing overall system costs. This cost is most apparent during maintenance, when a significant portion of engineer's time is spent trying to recover the lost rationale of the system structure. An approach is proposed for capturing this process-oriented material during development, indexed so that it provides this critical information to maintainers","","","10.1109/HICSS.1989.48049","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=48049","","Algorithm design and analysis;Costs;Design methodology;Maintenance engineering;Process design;Product design;Productivity;Software systems;Software testing;System testing","software engineering","design rationale;maintainability;software development;system design","","6","","18","","","3-6 Jan 1989","03 Jan 1989-06 Jan 1989","IEEE","IEEE Conference Publications"
"Practical software reuse: an interim report","D. Belanger; B. Krishnamurthy","Software Eng. Res. Dept., AT&T Bell Labs., Murray Hill, NJ, USA","Software Reuse: Advances in Software Reusability, 1994. Proceedings., Third International Conference on","","1994","","","53","63","Reuse in software has been discussed at length in the community with a variety of techniques and varying rates of success. We take a slightly longer range view and present an eight year experience report. The software discussed in this paper include some well known tools with a very large user base both inside and outside our company. The assumptions under which work was done here were: users could choose between our work and the free market, reused items will have dynamic life cycles, and a consistent and stable system architecture was vital. A lesson learnt was that a configuration and distribution process oriented to software product control and delivery provides, with some augmentation, an effective base for reuse support. Having a process-oriented software base constantly enhanced with customer feedback has promoted a high degree of reuse of our software","","","10.1109/ICSR.1994.365811","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=365811","","Computer architecture;Feedback;Lenses;Programming;Software design;Software engineering;Software systems;Software tools;Technology transfer;Terminology","software reusability;software tools","customer feedback;distribution process;dynamic life cycle;process-oriented software base;reuse support;software product control;software reuse;software tools;system architecture;very large user base","","1","","25","","","1-4 Nov 1994","01 Nov 1994-04 Nov 1994","IEEE","IEEE Conference Publications"
"Achieving excellence in the global marketplace using knowledge-based simulation","D. H. Yu","Coopers & Lybrand, Boston, MA, USA","Artificial Intelligence Applications on Wall Street, 1991. Proceedings., First International Conference on","","1991","","","103","108","The continuous improvement of global real-time processes is an essential element in establishing and maintaining a world class operation. Process re-engineering efforts are undertaken to redesign and implement process improvements for white-collar processes from a business process and information technology perspective, but are often biased and short-sighted in their analyses and recommendations. The author describes recent results in using object-oriented technology and knowledge-based simulation to achieve significant benefits from redesigning business processes, leveraging new technologies and establishing a flexible learning organization for continuous improvement","","","10.1109/AIAWS.1991.236565","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=236565","","Artificial intelligence;Business process re-engineering;Continuous improvement;Globalization;Information analysis;Information technology;Intelligent networks;Maintenance engineering;Multimedia systems;Object oriented modeling","digital simulation;financial data processing;knowledge based systems;object-oriented methods","business processes;continuous improvement;flexible learning organization;global marketplace;global real-time processes;information technology perspective;knowledge-based simulation;object-oriented technology;process improvements;re-engineering efforts;white-collar processes;world class operation","","0","","20","","","9-11 Oct 1991","09 Oct 1991-11 Oct 1991","IEEE","IEEE Conference Publications"
"Innovation in teaching and learning using service oriented approach","Y. Yahya; D. N. Nielsen; M. Mukhtar","Sch. of Comput. Sci., UKM, Bangi, Malaysia","Electrical Engineering and Informatics (ICEEI), 2011 International Conference on","","2011","","","1","4","Due to the advent technology, Higher Learning Institutions (HLI) are currently exposed to steep competition with their entrants globally. Thus for HLI to remain competitive globally, innovation is essential. Innovation is required not only in the business process to aid in more efficient ways of conducting the business, but also in the teaching and learning method. Due to the recent technology of Web 2.0 and 3.0, learners are exposed to vast amount of information in which it is made accessible online. In addition to the Internet capabilities in providing vast amount of information, learners are also exposed to the global communication in which platforms such as social networking software like Facebook, Twitter, MySpace had allowed learners to communicate with others across the globe in the quest of finding information and getting related knowledge. This provisions had posed a challenge to the academics in the HLI to innovate their way of teaching and ensure what is delivered to the learners are not repetitive to what they have known before through online information. As such teaching and learning must be co-created between the instructors and learners and be viewed from the participative and service oriented approach. The participative approach emphasizes on the learners participation in real life exercise while the service-oriented approach promotes values that are co-created between the learners and instructors to create win-win perspectives for both parties. Therefore this particular work is geared towards innovating the teaching and learning method across two countries, to provide an experience to the learners in terms of life exposure working with various community from the other countries and bring to light the experience in interacting with others, difference in work culture between two communities, sharing of ideas, working in different time zones and using technology in communicating and delivering results. The outcomes of the research is the participative - - model using a service oriented approach which can be used as a platform to innovate in current teaching learning process.","2155-6822;21556822","","10.1109/ICEEI.2011.6021663","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6021663","innovation;service oriented approach;value co-creation","Collaboration;Educational institutions;Industries;Organizations;Social network services;Technological innovation","Internet;computer aided instruction;computer science education;service-oriented architecture;social networking (online)","Facebook;HLI;Internet capabilities;MySpace;Twitter;Web 2.0 technology;Web 3.0 technology;advent technology;business process;higher learning institutions;service oriented approach;social networking","","1","","12","","","17-19 July 2011","","IEEE","IEEE Conference Publications"
"Performance evaluation of logistics enterprises based on Economic Value Added and Balanced Scorecard","Y. Tong; Y. Yao; X. Xiong","School of Management and Economics, Beijing Institute of Technology, Beijing 100081, China","Logistics Systems and Intelligent Management, 2010 International Conference on","","2010","1","","329","333","Motivated by increased use in practice and increased interest in the media and among academics, a performance evaluation system was built based on Economic Value Added (EVA) and Balanced Scorecard (BSC) for logistics enterprises. Correlation test and linear regression were run to give empirical support for the system. Leading the long-term vision, EVA is at the top of this system. Other measures distributed in four perspectives - Financial, Customer, Internal business process and Learning and growth - are aimed to a high EVA. EVA gets significantly positive Kendall's correlation with strategic objective whose proxy is corporate value. In linear regression whose dependent was EVA, operation cost, the first five customers' revenue ratio, audited internal control report and staff educational ratio were used to represent the four perspectives respectively. The first and the third measures have significant coefficients consistent with theoretic analysis.","","","10.1109/ICLSIM.2010.5461411","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5461411","Balanced Scorecard (BSC);Economic Value Added (EVA);Logistics;Performance Evaluation","Companies;Costs;Councils;Environmental economics;Industrial economics;Information science;Linear regression;Logistics;System testing;Technology management","economics;logistics;regression analysis","balanced scorecard;correlation test;economic value added;internal business process;linear regression;logistics enterprises;performance evaluation system","","0","","23","","","9-10 Jan. 2010","","IEEE","IEEE Conference Publications"
"Robust Client/Server Shared State Interactions of Collaborative Process with System Crash and Network Failures","L. Wang; A. Wombacher; L. F. Pires; M. J. van Sinderen; C. Chi","","Services Computing (SCC), 2013 IEEE International Conference on","","2013","","","192","199","With the possibility of system crashes and network failures, the design of robust client/server interactions for collaborative process execution is a challenge. If a business process changes state, it sends messages to relevant processes to inform about this change. However, server crashes and network failures may result in loss of messages. In this case, the state change is performed by one party, resulting in state/behavior inconsistencies and possibly deadlocks. Our basic idea to solve this problem is to cache the response (in a synchronous interaction) if the state of the process instance has changed by the request message. The possible state inconsistencies are recognized and compensated by state-caching and retrying failed interactions. By doing this work, we have learnt the possible failures caused by system crashes and network failures. Our results make it possible to build robust interactions by using cached-based process transformations.","","","10.1109/SCC.2013.39","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6649695","BPEL;Business Process;Service Interaction;State Synchronization","Automata;Business;Computer crashes;History;Petri nets;Servers;Synchronization","client-server systems;groupware;system recovery","BPEL;cached-based process transformations;collaborative process;network failures;robust client-server shared state interactions;service interaction;state synchronization;system crash","","1","","22","","","June 28 2013-July 3 2013","","IEEE","IEEE Conference Publications"
"Application of linguistic techniques for Use Case analysis","A. Fantechi; S. Gnesi; G. Lami; A. Maccari","Dept. of Syst. & Inf., Florence Univ., Italy","Requirements Engineering, 2002. Proceedings. IEEE Joint International Conference on","","2002","","","157","164","The Use Case formalism is an effective way of capturing both business process and functional system requirements in a very simple and easy-to-learn way. Use Cases may be modeled in a graphical way (e.g. using the UML notation), mainly serving as a table of content for Use Cases. System behavior can more effectively be specified by structured natural language (NL) sentences. The use of NL as a way to specify the behavior of a system is however a critical point, due to the inherent ambiguity originating from different interpretations of natural language descriptions. We discuss the use of methods, based on a linguistic approach, to analyze functional requirements expressed by means of textual (NL) Use Cases. The aim is to collect quality metrics and detect defects related to such inherent ambiguity. In a series of preliminary experiments, we applied a number of tools for quality evaluation of NL text (and, in particular, of NL requirements documents) to an industrial Use Cases document. The result of the analysis is a set of metrics that aim to measure the quality of the NL textual description of Use Cases. We also discuss the application of selected linguistic analysis techniques that are provided by some of the tools to semantic analysis of NL expressed Use Case.","1090-705X;1090705X","","10.1109/ICRE.2002.1048518","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1048518","","Application software;Books;Computer aided software engineering;Natural languages;Power system modeling;Software architecture;Software systems;Specification languages;Unified modeling language;Vehicles","formal specification;linguistics;natural languages;object-oriented methods;software metrics;software quality;specification languages;systems analysis","UML;Use Case analysis;business process requirements;experiments;functional requirements;functional system requirements;linguistic techniques;quality metrics;semantic analysis;software tools;structured natural language sentences","","20","2","19","","","2002","","IEEE","IEEE Conference Publications"
"Lean advanced equipment supplier training","J. Cavaleri","PMP, Intel Corporation, 5000 W Chandler BLVD, Chandler, AZ USA 85226-3699","2010 IEEE/SEMI Advanced Semiconductor Manufacturing Conference (ASMC)","","2010","","","65","67","In December 2008, facing a severe worldwide recession, a key strategy by senior Intel corporation management was reducing discretionary and wasteful spending by 50%. One of the largest discretionary spending categories is the cost of technical training provided by our equipment suppliers and the travel associated with sending senior equipment maintenance technicians and equipment engineers to lengthy training classes at locations around the world. A side effect of travel was that our most senior people would lose approximately 3 days of work time for travel before and after training. The challenge was meeting this aggressive cost reduction goal while maintaining high quality training and low production risk. We had two key opportunities. The first was available equipment capacity on our manufacturing floors, and second, we had motivated factory managers who challenged our training organization to create Lean and effective, affordable training. In 2009, the team deployed a pilot, transferred the key learning's to define and deploy the business process, systems, logistics, roles and collaterals to go from <;10% to over 90% of advanced training onsite. The solution was deployed at all the AT sites in one year providing factories with proven capability to maintain proficient workforce, reduce supplier dependence, maintain IP and lower POR costs.","1078-8743;10788743","","10.1109/ASMC.2010.5551423","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5551423","","Companies;Job shop scheduling;Logistics;Manufacturing;Production facilities;Training","cost reduction;economic cycles;lean production;logistics;maintenance engineering;management training;personnel;production equipment;risk management","Intel corporation management;business process;cost reduction;discretionary spending;equipment capacity;equipment engineers;factory managers;lean advanced equipment supplier training;learning;logistics;manufacturing floors;motivation;production risk;proficient workforce;senior equipment maintenance technicians;technical training cost;training classes;training organization;wasteful spending;work time;worldwide recession","","0","","1","","","11-13 July 2010","","IEEE","IEEE Conference Publications"
"Model development of Mobile Learning Lesson Study in teacher learning community","M. M. Mardhia; Y. Bandung; A. Z. R. Langi","Sch. of Electr. Eng. & Inf., Inst. Teknol. Bandung, Bandung, Indonesia","Rural Information & Communication Technology and Electric-Vehicle Technology (rICT & ICeV-T), 2013 Joint International Conference on","","2013","","","1","5","This research involves the activities of lesson study that has been running for about five years ago by a Teacher Learning Communities (KGB) in Subang - Cianjur, West Java. These activities consist of Planning (Plan), Implementation (Do) and Reflection(See). After process See is finished, Mobile Learning Lesson Study (MLLS) then built as a learning system based on mobile devices in order to support the results of lesson study processes and also to allow users to access of the learning outcomes of the KGB community. This system has a major role in the process of delivering lesson plan (RPP) by other teachers at the elementary school level. Therefore, the authors propose a framework for MLLS system that will be used as a reference in the development and implementation of the MLLS itself. Processes involved including business process definition, system requirements identification and stakeholders tasks division. After those parts are gathered, implementation of its mobile system is developed. At the end, there is a testing process to validate the results to ensure the quality of the proposed framework designed.","","","10.1109/rICT-ICeVT.2013.6741563","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6741563","Mobile learning;framework model;lesson study;teacher learning community","Business;Communities;Education;Learning systems;Mobile communication;Prototypes;Testing","computer aided instruction;mobile computing","Cianjur;KGB;MLLS;RPP;Subang;West Java;business process definition;do;elementary school level;implementation;learning system;mobile devices;mobile learning lesson study model development;planning;reflection;see;stakeholders tasks division;system requirements identification;teacher learning community","","0","","14","","","26-28 Nov. 2013","","IEEE","IEEE Conference Publications"
"Portfolio Intelligence System for process-oriented education for graduate students","M. Nakazawa; K. Matsuo; K. Kato; J. Nakamura","Kanazawa Institute of Technology, Japan","2009 39th IEEE Frontiers in Education Conference","","2009","","","1","6","Graduate education in professional school is highly expected to offer professional courses for the-state-of-art knowledge and skills of fast developing fields. Because of the demand-supply gap of high professionals who can teach in school, we proposed and developed course management procedures based on portfolio system, KIT Portfolio Intelligence System, when we started a new program, Graduated Program in Intellectual Creation System in 2004. KIT Portfolio Intelligence System is described in details in the paper. Several years practice of the system at our graduate program and evaluation made by students used in the course suggests effectiveness in developing professional skills in short term.","0190-5848;01905848","","10.1109/FIE.2009.5350812","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5350812","Action Learning;Carrier Development;Competency model on demand;Portfolio Intelligence;Process oriented Education","Business;Education;Educational institutions;Educational programs;Educational technology;History;Intelligent systems;Portfolios;Research and development","computer aided instruction;educational courses","course management procedure;demand-supply gap;graduate education;portfolio intelligence system;process-oriented education","","0","","8","","","18-21 Oct. 2009","","IEEE","IEEE Conference Publications"
"New paradigms for innovation in teaching and learning process","N. Vivekananthamoorthy; S. Sankar; R. Siva; S. Sharmila","Department of Information Technology, KCG College of Technology, Anna University, Chennai, Tamil Nadu, India","2009 7th International Conference on ICT and Knowledge Engineering","","2009","","","94","99","Innovation is the key to success in every sphere of Life. Changes are happening in everyday life and one has to adapt to new situations and face challenges. Technical education is no exception to this phenomenon. There is need to change curriculum and traditional teaching methods. This paper focuses on `change management' and re-engineering of educational processes. IT has enormous potential and we can improve learning processes dramatically with IT as change enabler and innovation happens as a side product. Some of the paradigms discussed are business process re-engineering, Kaizen, and Six Sigma, e-learning etc. In spite of its complexity and long time taken for its implementation, reengineering the educational processes is the only solution to bring forth drastic changes and improvement in current educational systems. some of the problems in implementing BPR are resistance to change and lack of management support etc, resulting in failures. These problems can be circumvented by addressing critical success factors of Re-engineering. E-learning can be used successfully by harnessing the innovations happening in Internet and World Wide Web. In recent times emphasis is shifting from instruction paradigm to learning paradigm and a learner centric approach will promote active learning. A case study was presented which introduces a new paradigm for students, an E-learning system which offers opportunities for alternative form of learning using powerful Internet Web site content creation, maintenance and Web analytic tools.","2157-0981;21570981","","10.1109/ICTKE.2009.5397338","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5397338","Active Learning;Business Process Re-engineering;Creative Problem Solving;E-learning;Kaizen;Web based learning","Business process re-engineering;Computer science;Computer science education;Continuous improvement;Crisis management;Educational institutions;Educational products;Information technology;Internet;Technological innovation","Internet;Web sites;business process re-engineering;computer aided instruction","E-learning system;Internet Web site content creation;Kaizen;Six Sigma;World Wide Web;business process re-engineering;change management;educational processes re-engineering;learning process;teaching process;technical education","","3","","17","","","1-2 Dec. 2009","","IEEE","IEEE Conference Publications"
"Outlier detection of business process based on support vector data description","L. Quan; G. s. Tian","College of Economics and Management, North-east Forestry University, NEFU Harbin, China","2009 ISECS International Colloquium on Computing, Communication, Control, and Management","","2009","2","","571","574","In order to detect the abnormal status of business process and reduce possible loss, it is necessary to build an outlier detect model. Based on the statistic learning and the support vector classifier theory, a new business processes' outlier detection model is proposed based on the support vector data description. Firstly, the paper discussed the concept of the business process and the abnormal running status, brought forward the business process's outlier detection and improvement framework. Then the paper put forward a model for business processes' abnormal status detection, discussed the problem of parameters selection, detection error and its affect factors. Finally, by simulation method, a set of training data set and testing set is generated, and an experiment is carried for verifying the validity of the model.","2154-9613;21549613","","10.1109/CCCM.2009.5267793","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5267793","Business process;outlier detection;support vector data description","Business communication;Communication system control;Composite materials;Economic forecasting;Educational institutions;Forestry;Management information systems;Production;Shape;Statistics","business data processing;learning (artificial intelligence);pattern classification;statistical analysis;support vector machines","abnormal running status detection;affect factors;business process outlier detection model;parameter selection problem;simulation method;statistical learning;support vector classifier theory;support vector data description;testing data set;training data set","","1","","17","","","8-9 Aug. 2009","","IEEE","IEEE Conference Publications"
